reagent	part_no	amount	units	update_date	create_date
MeNH3I	806390-25G (MS101000-100)	406	g	2019-05-09 00:00:00+00	2019-06-01 00:00:00+00
EtNH3I	805823-25G	112.5	g	2019-05-09 00:00:00+00	2019-06-01 00:00:00+00
n-BuNH3I	805874-25G	225	g	2019-05-09 00:00:00+00	2019-06-01 00:00:00+00
PhenEtNH3I	805904-25G	395	g	2019-05-09 00:00:00+00	2019-06-01 00:00:00+00
PbI2	211168-50G	326	g	2019-05-09 00:00:00+00	2019-06-01 00:00:00+00
GBL	B1198-3KG	3000	mL	2019-05-09 00:00:00+00	2019-06-01 00:00:00+00
Formic Acid		100	mL	2019-05-09 00:00:00+00	2019-06-01 00:00:00+00
Formamidinium Iodide	MS-150000-100	200	g	2019-05-09 00:00:00+00	2019-06-01 00:00:00+00
Guanidinium Iodide	806056-25G	5	g	2019-05-09 00:00:00+00	2019-06-01 00:00:00+00
Imidazolium Iodide	MS-170000-100	50	g	2019-05-09 00:00:00+00	2019-06-01 00:00:00+00
Acetamidinium Iodide	805971-25G	35	g	2019-05-09 00:00:00+00	2019-06-01 00:00:00+00
Benzylammonium Iodide	806196-25G	45	g	2019-05-09 00:00:00+00	2019-06-01 00:00:00+00
neo-Pentylammonium iodide	MS100740-100	18	g	2019-05-09 00:00:00+00	2019-06-01 00:00:00+00
iso-Propylammonium iodide	MS104000-100	40	g	2019-05-09 00:00:00+00	2019-06-01 00:00:00+00
iso-Butylammonium iodide	MS107000-100	480	g	2019-05-09 00:00:00+00	2019-06-01 00:00:00+00
Dimethylammonium iodide	MS111100-100 (805831-25G)	54.2	g	2019-05-09 00:00:00+00	2019-06-01 00:00:00+00
n-Dodecylammonium iodide	MS100880-100	75	g	2019-05-09 00:00:00+00	2019-06-01 00:00:00+00
Pyrrolidinium Iodide	MS119700-100	517	g	2019-05-09 00:00:00+00	2019-06-01 00:00:00+00
Ethane-1,2-diammonium iodide		200	g	2019-05-09 00:00:00+00	2019-06-01 00:00:00+00
Cesium iodide		100	g	2019-05-09 00:00:00+00	2019-06-01 00:00:00+00
Bismuth iodide		100	g	2019-05-09 00:00:00+00	2019-06-01 00:00:00+00
Lead Bromide	211141-100G	80	g	2019-05-09 00:00:00+00	2019-06-01 00:00:00+00
MeNH3Br	MS301000-100	150	g	2019-05-09 00:00:00+00	2019-06-01 00:00:00+00
EtNH3Br	900868-25G	80	g	2019-05-09 00:00:00+00	2019-06-01 00:00:00+00
4-Methoxy-Phenylammonium iodide	MS100610-100	69	g	2019-05-09 00:00:00+00	2019-06-01 00:00:00+00
iso-Pentylammonium iodide	MS100710-100	90	g	2019-05-09 00:00:00+00	2019-06-01 00:00:00+00
n-Propylammonium iodide	MS103000-100	27	g	2019-05-09 00:00:00+00	2019-06-01 00:00:00+00
4-Fluoro-Phenylammonium iodide	MS100620-100	140	g	2019-05-09 00:00:00+00	2019-06-01 00:00:00+00
tert-Octylammonium iodide	MS100830-100	74	g	2019-05-09 00:00:00+00	2019-06-01 00:00:00+00
Cyclohexylammonium iodide	MS100840-100	66	g	2019-05-09 00:00:00+00	2019-06-01 00:00:00+00
4-Fluoro- Benzylammonium iodide	MS100730-100	76.5	g	2019-05-09 00:00:00+00	2019-06-01 00:00:00+00
n-Hexylammonium iodide	MS100860-100	185	g	2019-05-09 00:00:00+00	2019-06-01 00:00:00+00
4-Trifluoromethyl-Benzylammonium iodide	MS100780-100	64	g	2019-05-09 00:00:00+00	2019-06-01 00:00:00+00
4-Trifluoromethyl-Phenylammonium iodide	MS100790-100	60	g	2019-05-09 00:00:00+00	2019-06-01 00:00:00+00
Cyclohexylmethylammonium iodide	MS101840-50	78	g	2019-05-09 00:00:00+00	2019-06-01 00:00:00+00
4-Fluoro-Phenethylammonium iodide	MS100720-100	54	g	2019-05-09 00:00:00+00	2019-06-01 00:00:00+00
Propane-1,3-diammonium iodide	MS103003-100	100	g	2019-05-09 00:00:00+00	2019-06-01 00:00:00+00
2-Pyrrolidin-1-ium-1-ylethylammonium iodide	MS122972-100	200	g	2019-05-09 00:00:00+00	2019-06-01 00:00:00+00
5-Azaspiro[4.4]nonan-5-ium iodide	MS199700-100	200	g	2019-05-09 00:00:00+00	2019-06-01 00:00:00+00
1,4-Benzene diammonium iodide	MS108005-100	186.5	g	2019-05-09 00:00:00+00	2019-06-01 00:00:00+00
Butane-1,4-diammonium iodide	MS104040-100	200	g	2019-05-09 00:00:00+00	2019-06-01 00:00:00+00
t-Butylammonium iodide	MS106000-100	163	g	2019-05-09 00:00:00+00	2019-06-01 00:00:00+00
1,4-Diazabicyclo[2,2,2]octane-1,4-diium iodide	MS129400-100	200	g	2019-05-09 00:00:00+00	2019-06-01 00:00:00+00
Diethylammonium iodide	MS112200-100	179	g	2019-05-09 00:00:00+00	2019-06-01 00:00:00+00
N,N-Dimethylethane- 1,2-diammonium iodide	MS122112-100	200	g	2019-05-09 00:00:00+00	2019-06-01 00:00:00+00
N,N-dimethylpropane- 1,3-diammonium iodide	MS123113-100	200	g	2019-05-09 00:00:00+00	2019-06-01 00:00:00+00
N,N-Diethylpropane-1,3-diammonium iodide	MS123223-100	185.5	g	2019-05-09 00:00:00+00	2019-06-01 00:00:00+00
n-Octylammonium Iodide	MS105500-100	173	g	2019-05-09 00:00:00+00	2019-06-01 00:00:00+00
Phenylammonium iodide	MS108000-25	860	g	2019-05-09 00:00:00+00	2019-06-01 00:00:00+00
Piperidinium iodide	MS119800-100	180	g	0001-01-01 00:00:00+00	2019-06-01 00:00:00+00
Pyridinium iodide	MS129810-100	175	g	0001-01-01 00:00:00+00	2019-06-01 00:00:00+00
Alanine Hydroiodide	need to find a cheaper source			0001-01-01 00:00:00+00	2019-06-01 00:00:00+00
Piperazine-1,4-diium iodide	MS119500-100	200	g	0001-01-01 00:00:00+00	2019-06-01 00:00:00+00
Pralidoxime iodide	need to find a source 			0001-01-01 00:00:00+00	2019-06-01 00:00:00+00
Quinuclidin-1-ium iodide		20	g	0001-01-01 00:00:00+00	2019-06-01 00:00:00+00
Morpholinium Iodide	MS110640-100	159.5	g	0001-01-01 00:00:00+00	2019-06-01 00:00:00+00
4-Methoxy-Phenaethylammonium Iodide		50	g	0001-01-01 00:00:00+00	2019-06-01 00:00:00+00
Di-isopropylammonium Iodide		50	g	0001-01-01 00:00:00+00	2019-06-01 00:00:00+00
Proposed Bromides				0001-01-01 00:00:00+00	2019-06-01 00:00:00+00
2-Pyrrolidin-1-ium-1-ylethylammonium bromide				0001-01-01 00:00:00+00	2019-06-01 00:00:00+00
Acetamidinium bromide		100	g	0001-01-01 00:00:00+00	2019-06-01 00:00:00+00
5-Azaspiro[4.4]nonan-5-ium bromide				0001-01-01 00:00:00+00	2019-06-01 00:00:00+00
1,4-Benzenediammonium bromide				0001-01-01 00:00:00+00	2019-06-01 00:00:00+00
Benzylammonium bromide		100	g	0001-01-01 00:00:00+00	2019-06-01 00:00:00+00
Butane-1,4-diammonium bromide				0001-01-01 00:00:00+00	2019-06-01 00:00:00+00
iso-Butylammonium bromide				0001-01-01 00:00:00+00	2019-06-01 00:00:00+00
n-Butylammonium bromide		100	g	0001-01-01 00:00:00+00	2019-06-01 00:00:00+00
t-Butylammonium bromide				0001-01-01 00:00:00+00	2019-06-01 00:00:00+00
Cyclohexylammonium bromide				0001-01-01 00:00:00+00	2019-06-01 00:00:00+00
Cyclohexylmethylammonium bromide				0001-01-01 00:00:00+00	2019-06-01 00:00:00+00
1,4-Diazabicyclo[2,2,2]octane-1,4-diium bromide				0001-01-01 00:00:00+00	2019-06-01 00:00:00+00
Diethylammonium bromide				0001-01-01 00:00:00+00	2019-06-01 00:00:00+00
Dimethylammonium bromide				0001-01-01 00:00:00+00	2019-06-01 00:00:00+00
N,N-Dimethylethane- 1,2-diammonium bromide				0001-01-01 00:00:00+00	2019-06-01 00:00:00+00
N,N-dimethylpropane-1,3-diammonium bromide				0001-01-01 00:00:00+00	2019-06-01 00:00:00+00
n-Dodecylammonium bromide				0001-01-01 00:00:00+00	2019-06-01 00:00:00+00
Ethane-1,2-diammonium bromide				0001-01-01 00:00:00+00	2019-06-01 00:00:00+00
Ethylammonium bromide				0001-01-01 00:00:00+00	2019-06-01 00:00:00+00
4-Fluoro-Phenylammonium bromide				0001-01-01 00:00:00+00	2019-06-01 00:00:00+00
4-Fluoro- Benzylammonium bromide				0001-01-01 00:00:00+00	2019-06-01 00:00:00+00
4-Fluoro- Phenethylammonium bromide				0001-01-01 00:00:00+00	2019-06-01 00:00:00+00
Formamidinium bromide		54	g	0001-01-01 00:00:00+00	2019-06-01 00:00:00+00
Guanidinium bromide		100	g	0001-01-01 00:00:00+00	2019-06-01 00:00:00+00
n-Hexylammonium bromide				0001-01-01 00:00:00+00	2019-06-01 00:00:00+00
Imidazolium bromide		100	g	0001-01-01 00:00:00+00	2019-06-01 00:00:00+00
4-Methoxy-Phenethylammonium bromide				0001-01-01 00:00:00+00	2019-06-01 00:00:00+00
4-Methoxy-Phenylammonium bromide				0001-01-01 00:00:00+00	2019-06-01 00:00:00+00
Methylammonium bromide				0001-01-01 00:00:00+00	2019-06-01 00:00:00+00
N,N-Diethylpropane-1,3-diammonium bromide				0001-01-01 00:00:00+00	2019-06-01 00:00:00+00
n-Octylammonium Bromide				0001-01-01 00:00:00+00	2019-06-01 00:00:00+00
tert-Octylammonium bromide				0001-01-01 00:00:00+00	2019-06-01 00:00:00+00
n-Pentylammonium Bromide				0001-01-01 00:00:00+00	2019-06-01 00:00:00+00
i-Pentylammonium bromide				0001-01-01 00:00:00+00	2019-06-01 00:00:00+00
neo-Pentylammonium bromide				0001-01-01 00:00:00+00	2019-06-01 00:00:00+00
Phenethylammonium bromide		100	g	0001-01-01 00:00:00+00	2019-06-01 00:00:00+00
Phenylammonium bromide				0001-01-01 00:00:00+00	2019-06-01 00:00:00+00
Piperazine-1,4-diium bromide				0001-01-01 00:00:00+00	2019-06-01 00:00:00+00
Piperidinium bromide				0001-01-01 00:00:00+00	2019-06-01 00:00:00+00
Propane-1,3-diammonium bromide				0001-01-01 00:00:00+00	2019-06-01 00:00:00+00
iso-Propylammonium bromide				0001-01-01 00:00:00+00	2019-06-01 00:00:00+00
n-Propylammonium bromide				0001-01-01 00:00:00+00	2019-06-01 00:00:00+00
Pyrrolidinium bromide				0001-01-01 00:00:00+00	2019-06-01 00:00:00+00
Quinuclidin-1-ium bromide				0001-01-01 00:00:00+00	2019-06-01 00:00:00+00
4-Trifluoromethyl-Benzylammonium bromide				0001-01-01 00:00:00+00	2019-06-01 00:00:00+00
4-Trifluoromethyl-Phenylammonium bromide				0001-01-01 00:00:00+00	2019-06-01 00:00:00+00
